term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),102235.64637501453,2.066962106308345,5.580671097499031,2.395923321027156e-8,1789.1932031030196,5925396.033616004
whiff_10,1.2930784180502655,0.09383055482694505,2.7392542500552657,0.006157873198509417,1.075925653568265,1.5544825632261394
pa_bucket400-599 PA,1.148404917907802,0.22212173525169032,0.6229644816095843,0.5333078627079983,0.7460639706230788,1.7848606440253187
pa_bucket200-399 PA,1.124979814342979,0.21519784768797381,0.5472410340270779,0.5842131485015867,0.7414524946736134,1.7262872443634483
pa_bucket600+ PA,1.1091761002918368,0.19425114079713582,0.5334202275688205,0.5937427184243427,0.7643758659230304,1.6391804109470982
age_centered_sq,0.9961494377977556,0.0023549248455060363,-1.6382665926323754,0.10136609340040965,0.9914454788925822,1.0006466996780319
age_centered,0.9796226738726286,0.012113473686324544,-1.6995792167478214,0.08921010238351428,0.956695740868809,1.003242228310782
xwoba_050,0.878045118572252,0.06054512262074398,-2.14810529968717,0.03170539131708324,0.7794731456740251,0.9883405659594825
ev_p90_5,0.5942925823082026,0.10557704814411027,-4.928945516358806,8.26746241377364e-7,0.48296023315928993,0.7306509503891644
broad_archetype_tunedPower-based,0.19080954067379663,0.17246025747642896,-9.604992720789928,7.616331239868768e-22,0.13580420563103757,0.2671121576364677
broad_archetype_tunedMiddle-profile,0.0669681664922164,0.2175607556562015,-12.42658811019138,1.8746618371311475e-35,0.04355970394783119,0.10224275025508357
broad_archetype_tunedContact/discipline-based,0.05756814140561196,0.19157307187126824,-14.90181233201816,3.2075951079572534e-50,0.03942762267594546,0.08357994314218471
broad_archetype_tunedLow offensive profile,2.3745161916461225e-9,188.11795347325346,-0.10556393880722983,0.9159283374949057,3.8407703385676014e-72,4.692286581442257e-68
