age_int,total_player_age_slots,observed_player_seasons,missing_player_seasons,observed_rate,missing_rate
21,1351,38,1312,0.028127313101406367,0.9711324944485566
22,1351,110,1241,0.08142116950407106,0.9185788304959289
23,1351,196,1154,0.14507772020725387,0.8541820873427091
24,1351,354,994,0.26202812731310143,0.7357512953367875
25,1351,466,883,0.3449296817172465,0.6535899333826795
26,1351,538,809,0.3982235381199112,0.5988156920799408
27,1351,537,811,0.39748334566987414,0.6002960769800149
28,1351,514,830,0.3804589193190229,0.6143597335307179
29,1351,454,897,0.3360473723168024,0.6639526276831976
30,1351,367,982,0.2716506291635825,0.7268689859363434
31,1351,341,1009,0.2524056254626203,0.7468541820873427
32,1351,310,1039,0.22945965951147299,0.769059955588453
33,1351,240,1109,0.17764618800888232,0.8208734270910437
34,1351,194,1157,0.14359733530717986,0.8564026646928201
35,1351,128,1222,0.09474463360473723,0.9045151739452257
36,1351,86,1265,0.06365655070318282,0.9363434492968171
37,1351,51,1300,0.03774981495188749,0.9622501850481125
38,1351,36,1315,0.026646928201332347,0.9733530717986677
39,1351,17,1334,0.012583271650629163,0.9874167283493709
