age_band,broad_archetype_tuned,player_seasons,players,survival_rate,exit_rate,next_year_survival_rate,gap_return_rate,reduced_role_rate,upgrade_rate,same_rate,downgrade_rate,avg_rank_change,avg_pa,avg_xwoba,avg_ev_p90
24 and under,Complete,27,21,0.9259259259259259,0.07407407407407407,0.8888888888888888,0.037037037037037035,0.037037037037037035,0,0.37037037037037035,0.5185185185185185,-0.9583333333333333,1678.7777777777778,0.3713513933526472,104.46111111111111
24 and under,Contact/discipline-based,194,142,0.8247422680412371,0.15463917525773196,0.7783505154639175,0.04639175257731959,0.05154639175257732,0.11855670103092783,0.5103092783505154,0.16494845360824742,-0.16883116883116892,851.6855670103092,0.2902537498122745,99.70149484536083
24 and under,Low offensive profile,193,153,0.8186528497409327,0.12953367875647667,0.7409326424870466,0.07772020725388601,0.09844559585492228,0.41450777202072536,0.35751295336787564,0,1.2080536912751676,679.0725388601036,0.2640443300620282,100.41901554404146
24 and under,Middle-profile,73,66,0.7397260273972602,0.2191780821917808,0.6986301369863014,0.0410958904109589,0.0684931506849315,0.3835616438356164,0.1780821917808219,0.1506849315068493,0.6346153846153845,886.4931506849315,0.2879304809130459,101.04547945205479
24 and under,Power-based,225,168,0.8266666666666667,0.16,0.7822222222222223,0.044444444444444446,0.02666666666666667,0.04888888888888889,0.5066666666666667,0.2577777777777778,-0.6065573770491804,1179.7688888888888,0.3345350442696205,104.67435555555556
25-29,Complete,105,70,0.9047619047619048,0.08571428571428572,0.8952380952380953,0.009523809523809525,0.009523809523809525,0,0.3523809523809524,0.5523809523809524,-0.9894736842105261,1793.5809523809523,0.36502682586307134,104.44066666666667
25-29,Contact/discipline-based,785,414,0.7528662420382166,0.20254777070063695,0.7070063694267515,0.045859872611464965,0.0751592356687898,0.08535031847133757,0.4980891719745223,0.13885350318471337,-0.14285714285714285,1107.4738853503184,0.2935837569701031,99.75485350318472
25-29,Low offensive profile,626,434,0.6565495207667732,0.23482428115015974,0.6022364217252396,0.054313099041533544,0.13738019169329074,0.33386581469648563,0.2939297124600639,0,1.1781170483460557,666.6900958466454,0.2615594871398844,100.50341853035144
25-29,Middle-profile,295,236,0.7050847457627119,0.22372881355932203,0.6610169491525424,0.04406779661016949,0.09830508474576272,0.3220338983050847,0.17627118644067796,0.17966101694915254,0.415,937.5389830508475,0.28550881688572405,100.37796610169492
25-29,Power-based,714,371,0.8179271708683473,0.13585434173669467,0.7913165266106442,0.02661064425770308,0.058823529411764705,0.04481792717086835,0.5042016806722689,0.25630252100840334,-0.653913043478261,1330.6288515406163,0.33515172831084256,104.44571428571429
30-34,Complete,72,53,0.8194444444444444,0.18055555555555555,0.8055555555555556,0.013888888888888888,0,0,0.25,0.5694444444444444,-1.2372881355932204,1860.7222222222222,0.3599790175499614,103.91180555555556
30-34,Contact/discipline-based,525,265,0.7066666666666667,0.2361904761904762,0.6895238095238095,0.017142857142857144,0.06476190476190476,0.07047619047619047,0.5142857142857142,0.11428571428571428,-0.12806539509536802,1174.527619047619,0.29663711049692454,99.83398095238095
30-34,Low offensive profile,291,206,0.5463917525773195,0.3230240549828179,0.5085910652920962,0.037800687285223365,0.14432989690721648,0.27491408934707906,0.25773195876288657,0,1.0838709677419356,774.3711340206186,0.2645986463682718,100.25068728522336
30-34,Middle-profile,155,113,0.7096774193548387,0.1935483870967742,0.6967741935483871,0.012903225806451613,0.10967741935483871,0.36129032258064514,0.1870967741935484,0.14838709677419354,0.5555555555555556,1094.4064516129033,0.29358062596633566,100.40232258064516
30-34,Power-based,416,218,0.7788461538461539,0.17548076923076922,0.7668269230769231,0.01201923076923077,0.052884615384615384,0.05048076923076923,0.4567307692307692,0.2644230769230769,-0.6853582554517134,1451.9783653846155,0.3441936293686046,104.24310096153846
35+,Complete,25,17,0.84,0.16,0.8,0.04,0,0,0.24,0.6,-1.2857142857142858,1644,0.360433310705612,104.4652
35+,Contact/discipline-based,136,77,0.5,0.4852941176470588,0.5,0,0.014705882352941176,0.051470588235294115,0.38235294117647056,0.0661764705882353,-0.014705882352941227,1223.4411764705883,0.29537133152521333,99.5102205882353
35+,Low offensive profile,62,42,0.43548387096774194,0.5,0.4032258064516129,0.03225806451612903,0.0967741935483871,0.14516129032258066,0.25806451612903225,0,0.76,717.4677419354839,0.2690357755716468,100.35758064516129
35+,Middle-profile,30,28,0.3333333333333333,0.6,0.3333333333333333,0,0.06666666666666667,0.2,0.03333333333333333,0.1,0.5,841.9333333333333,0.2730413231520341,99.85000000000001
35+,Power-based,91,49,0.6813186813186813,0.2967032967032967,0.6703296703296703,0.01098901098901099,0.02197802197802198,0.054945054945054944,0.43956043956043955,0.18681318681318682,-0.5,1468.857142857143,0.34156815365216164,104.20626373626374
