age_plot,age_group,pa_bucket,broad_archetype_tuned,player_seasons,players,survived,exited,survival_rate,exit_rate,next_year_survival_rate,gap_return_rate,reduced_role_rate,avg_xwoba,avg_ev_p90,small_cell
22,22 and under,50-199 PA,Contact/discipline-based,9,9,7,2,0.7777777777777778,0.2222222222222222,0.6666666666666666,0.1111111111111111,0,0.2723767045985823,97.6511111111111,TRUE
22,22 and under,50-199 PA,Low offensive profile,6,6,4,2,0.6666666666666666,0.33333333333333337,0.6666666666666666,0,0,0.24483687185990044,98.97833333333334,TRUE
22,22 and under,50-199 PA,Power-based,6,6,3,3,0.5,0.5,0.3333333333333333,0.16666666666666666,0,0.31867001451415616,105.63166666666666,TRUE
22,22 and under,200-399 PA,Contact/discipline-based,10,10,8,2,0.8,0.19999999999999996,0.8,0,0.1,0.29399807634301933,99.763,FALSE
22,22 and under,200-399 PA,Low offensive profile,13,12,9,4,0.6923076923076923,0.3076923076923077,0.6153846153846154,0.07692307692307693,0.07692307692307693,0.2456245621343468,98.49923076923078,FALSE
22,22 and under,200-399 PA,Middle-profile,4,4,4,0,1,0,1,0,0,0.305370484545176,101.765,TRUE
22,22 and under,200-399 PA,Power-based,5,5,4,1,0.8,0.19999999999999996,0.8,0,0.2,0.3085666879296854,103.892,TRUE
22,22 and under,400-599 PA,Complete,1,1,1,0,1,0,1,0,0,0.36358443999999995,103.89000000000001,TRUE
22,22 and under,400-599 PA,Contact/discipline-based,10,9,9,1,0.9,0.09999999999999998,0.8,0.1,0.1,0.28678013914468947,99.19800000000001,FALSE
22,22 and under,400-599 PA,Low offensive profile,9,8,8,1,0.8888888888888888,0.11111111111111116,0.8888888888888888,0,0,0.2587999516517764,100.91222222222223,TRUE
22,22 and under,400-599 PA,Middle-profile,5,5,4,1,0.8,0.19999999999999996,0.6,0.2,0,0.2876087133958436,99.936,TRUE
22,22 and under,400-599 PA,Power-based,6,6,4,2,0.6666666666666666,0.33333333333333337,0.5,0.16666666666666666,0.3333333333333333,0.31540257576298925,104.5,TRUE
