term,estimate,std.error,statistic,p.value,conf.low,conf.high
pa_bucket600+ PA,4.3655959719670685,0.12109732667042099,12.170002053181246,4.490712176031802e-34,3.4433504754175206,5.536864117409217
(Intercept),3.9434766235632237,0.7498057859196758,1.8298908220820134,0.06726626611995785,1.1266438612696899,25.002285962504512
broad_archetype_tunedMiddle-profile:age_band30-34,2.4214668366887704,0.8697300035537302,1.0168368157877088,0.3092310650692047,0.5096387910414525,17.92096664776993
broad_archetype_tunedPower-based:age_band30-34,2.096899791711943,0.83324479106431,0.8886463764548012,0.3741931585108336,0.48147724661521246,14.771964326508797
pa_bucket400-599 PA,1.9045932755312256,0.14248712468953034,4.521590870257093,6.137660137165745e-6,1.4412210920010984,2.5200352745934977
broad_archetype_tunedPower-based:age_band25-29,1.2879978193944157,0.8409267648518902,0.30096429943997155,0.7634417180048005,0.2884612903642436,9.153295631367936
broad_archetype_tunedContact/discipline-based:age_band30-34,1.2024971808516667,0.8332131087600574,0.22131238293087752,0.8248492088416968,0.27599663520113055,8.46954760586228
pa_bucket200-399 PA,1.1965259715497043,0.13275078217425088,1.351572709855947,0.17651204536223689,0.9223385137261428,1.5523459965311024
broad_archetype_tunedMiddle-profile:age_band25-29,1.1663389367472672,0.8707910432308819,0.17670109287514726,0.8597431823943196,0.24333515181525767,8.629651300720175
broad_archetype_tunedPower-based:age_band35+,1.0478996797808415,0.9671799829771114,0.048375542029832005,0.9614169511110957,0.166737791687084,8.771530418600255
broad_archetype_tunedLow offensive profile:age_band30-34,0.7597046339887306,0.8358452869218866,-0.3287995578012452,0.7423071973373723,0.17331365981174862,5.370148478895478
broad_archetype_tunedContact/discipline-based:age_band25-29,0.7067654828802086,0.8422929494063298,-0.41203761202115763,0.6803118553145504,0.15771927789152562,5.0313225375978945
age_band25-29,0.6594916452346358,0.8151200466341906,-0.510705112647603,0.6095575601787497,0.09605147478035383,2.769548934212053
broad_archetype_tunedLow offensive profile:age_band25-29,0.6231884225109805,0.8418442424158739,-0.5617504263337761,0.5742860722358181,0.1392441636281359,4.433994004427314
broad_archetype_tunedLow offensive profile,0.5931104514293589,0.7671435296857492,-0.6809346861183029,0.49591281904104695,0.09157110013975017,2.1751279579217524
broad_archetype_tunedContact/discipline-based,0.576261072907821,0.7676064001593075,-0.7180691423146573,0.4727146555154436,0.08891942611266138,2.1160251917580806
broad_archetype_tunedPower-based,0.4287317666990637,0.7641515990314777,-1.108319094181203,0.2677240320492404,0.06643268782398751,1.5593414082367294
broad_archetype_tunedMiddle-profile:age_band35+,0.4200314272467477,1.0415859810507142,-0.8327932206336998,0.40496135882411427,0.057119162461363275,3.930086532112432
broad_archetype_tunedLow offensive profile:age_band35+,0.4149590403416003,0.9792578909953843,-0.8982061514974276,0.3690756544603094,0.06436202356230546,3.5353972986155267
broad_archetype_tunedContact/discipline-based:age_band35+,0.4027380340278813,0.9587261170962229,-0.9486222934976007,0.3428127483354381,0.06512430157973641,3.3267519304081805
age_band35+,0.3181841211781529,0.9223582030575264,-1.2415188183340697,0.21441415076956297,0.04063074794171893,1.8272212786023339
broad_archetype_tunedMiddle-profile,0.29391715583179695,0.7921184574416638,-1.545800786149378,0.12215268712923052,0.04399512884010744,1.1517860449034933
age_band30-34,0.2834266954289178,0.8044343105086506,-1.5673147486308894,0.11704113967213885,0.041799347443800906,1.1511805333942566
