term,estimate,std.error,statistic,p.value,conf.low,conf.high
pa_bucket600+ PA,4.361502543980445,0.12055664634373955,12.21680150236306,2.5283797684138665e-34,3.4437097380642907,5.525685854956009
(Intercept),4.125410494076116,0.24846568184624332,5.7036670739417525,1.172569949785538e-8,2.5651720578354444,6.808388156638291
pa_bucket400-599 PA,1.9243243876498646,0.1418411428441799,4.614845351328888,3.933881293637439e-6,1.4580006092169675,2.542915693024
pa_bucket200-399 PA,1.2030044186807465,0.1320560590848226,1.3995731155236717,0.16164118933163363,0.9286087356717346,1.5586425643722717
broad_archetype_tunedPower-based,0.6060527520614132,0.21434161730548848,-2.336402297372718,0.019470284333973686,0.39116545171638883,0.9087897257325918
age_band25-29,0.5654963806838211,0.1123180808123792,-5.075330521397756,3.8682300547163765e-7,0.4523620445820069,0.7027780876437858
broad_archetype_tunedContact/discipline-based,0.46975542898995204,0.21165414312297476,-3.5697060894596793,3.573819682852008e-4,0.304655383571948,0.7003974203281121
broad_archetype_tunedLow offensive profile,0.40082444888397534,0.21609638449867513,-4.230666482381638,2.329999223729894e-5,0.25789087762475865,0.6032753644250941
broad_archetype_tunedMiddle-profile,0.3862880492661704,0.22579964793470206,-4.21245982841392,2.526046498076544e-5,0.24424741935275815,0.5934708540068124
age_band30-34,0.3796832052817735,0.11936875583272161,-8.112826824016484,4.945552996098249e-16,0.29963191753805296,0.4785349666702429
age_band35+,0.17338094914017524,0.15478850422437934,-11.320376122258565,1.0402464384954846e-29,0.12779219869850683,0.23450121930304008
