term,estimate,std.error,statistic,p.value,conf.low,conf.high
pa_bucket600+ PA,2.9588341686930923,0.13254389596204416,8.184423137332743,2.736111068851736e-16,2.2805514383674126,3.835350549498592
pa_bucket400-599 PA,1.6192355368246967,0.14688341312930286,3.2812019870177247,0.0010336569202539477,1.2143724519420394,2.160306547164946
xwoba_050,1.2878149547625375,0.04816628529252324,5.25153532521781,1.5083659715877634e-7,1.1722874970257997,1.4159709873232722
ev_p90_5,1.138534167883321,0.07930590294298272,1.6359641914757994,0.10184708194474854,0.974712826090754,1.3302342861382273
pa_bucket200-399 PA,1.1226207849670982,0.13603578154814572,0.850261137645275,0.3951799177217689,0.859677524788418,1.4656477255076257
broad_archetype_tunedLow offensive profile,1.1040828174678898,0.24762178736566495,0.39986368694409463,0.6892569195727052,0.6707748223928102,1.7748277738168987
broad_archetype_tunedPower-based,1.025282772761977,0.22633784948812188,0.11031495821593047,0.9121595947255529,0.6476774836745738,1.5770509097684888
chase_10,0.9725762776419643,0.05477381806826422,-0.5076653947590923,0.6116880209101729,0.8736453154874372,1.0829505356536828
zone_contact_10,0.9322015787310374,0.10885319386631798,-0.6449622560193494,0.5189516455921355,0.7528914635610903,1.1537852642569084
broad_archetype_tunedMiddle-profile,0.7627722803730507,0.24244987867915735,-1.116914335874737,0.26403095440217267,0.46782210826431087,1.213087892305525
broad_archetype_tunedContact/discipline-based,0.6887982329729222,0.2263102898857173,-1.6473262944892586,0.09949099602539538,0.43501286380763177,1.059043312016055
whiff_10,0.5989358657312203,0.11429259963176795,-4.4849864046019885,7.29185838377307e-6,0.4784519926804928,0.7490109442234121
age_band25-29,0.5814966388679188,0.1132550129315199,-4.786985344963903,1.6930519163755373e-6,0.46431353713576307,0.7240006723536124
age_band30-34,0.3777837297434747,0.12062318503494457,-8.07003554377126,7.027770622938513e-16,0.2973980318338311,0.4773090101199983
(Intercept),0.33073229671749566,1.8639124975987444,-0.5936147772541066,0.5527697951024246,0.0085428522693651,12.754866494426457
age_band35+,0.16965623662473464,0.15667697235559938,-11.322538341419909,1.0148999734241051e-29,0.12458429042996837,0.23031409735040728
