term,estimate,std.error,statistic,p.value,conf.low,conf.high
pa_bucket600+ PA,3.0563064816304735,0.1332243200670112,8.385909976537441,5.0334845745465715e-17,2.3526112073724126,3.967103044873698
pa_bucket400-599 PA,1.6450540787872001,0.14758258708293123,3.372845456625155,7.439569638759643e-4,1.2320528245431102,2.197775694913709
xwoba_050,1.2959146702402025,0.04757526703728026,5.44856121764515,5.0778913942406326e-8,1.1810098153505093,1.4232035786609392
pa_bucket200-399 PA,1.1427615732472964,0.13652474400244816,0.9774621201038979,0.32834042215484743,0.8742703459657558,1.493387334731164
ev_p90_5,1.1246588835706004,0.07900160746870309,1.4870555022588678,0.13700015264879062,0.9633915590517931,1.3132174706372925
broad_archetype_tunedLow offensive profile,1.0810314963456287,0.24677999330385736,0.31572929999074145,0.7522079852425917,0.6577204481376506,1.7345808606285305
broad_archetype_tunedPower-based,1.0283466419735714,0.2268370899235112,0.12322636728645121,0.9019278466085507,0.6489747140823249,1.5833015318017112
age_centered_sq,0.9986587017838768,0.0017934084908540053,-0.7484064944481187,0.45421500641544293,0.995153853518238,1.002179061018385
age_centered,0.8856073925864859,0.010342531141355865,-11.745823958999358,7.419578447551462e-32,0.8676818743572291,0.9035919304167
broad_archetype_tunedMiddle-profile,0.7604366144332815,0.24331097467452034,-1.1255658251769398,0.2603493403023296,0.4656159381566168,1.2114416015351936
broad_archetype_tunedContact/discipline-based,0.6830715780019463,0.22666055042410907,-1.6816143116746005,0.09264365358250157,0.43108708736743895,1.0509239427921246
whiff_10,0.6242159287781106,0.07457368051608214,-6.31937337007929,2.626260485972685e-10,0.5390655670930998,0.7221554362890115
(Intercept),0.0970415441796955,1.5511535334351731,-1.5037944673928167,0.1326342961879901,0.004622688984371644,2.0246073752121547
