term,estimate,std.error,statistic,p.value,conf.low,conf.high
pa_bucket600+ PA,5.197982563716335,0.1200986915431652,13.724300911301968,7.26262582511117e-43,4.111685747442607,6.5857742558256
(Intercept),2.5518303478032864,0.23674240995124676,3.957089417701657,7.586853671016063e-5,1.6198112605769044,4.104823607922467
pa_bucket400-599 PA,1.9970461982606391,0.14008475941042586,4.937504914226119,7.912841323460232e-7,1.5189401119012411,2.631015761409063
pa_bucket200-399 PA,1.3851438638235616,0.1321856112195311,2.464746382271541,0.013711026230892981,1.069705418673756,1.7964069993815326
age_band25-29,0.6312353601572005,0.10445072211181179,-4.40472292761346,1.0591916854086404e-5,0.5133059744301939,0.7731699723578237
broad_archetype_tunedPower-based,0.6256101530508116,0.20350949167487295,-2.304697715676473,0.02118350892453304,0.4135473544010152,0.9203802176743597
broad_archetype_tunedContact/discipline-based,0.4770195313368831,0.2009898652636037,-3.682762022663991,2.3072052426535564e-4,0.31676307538398163,0.6980642919800434
age_band30-34,0.47526443543018865,0.11216277911595963,-6.632181634096313,3.307612038830339e-11,0.3807505358218375,0.5911015346438147
broad_archetype_tunedMiddle-profile,0.4028145935604254,0.2152418264068855,-4.224452578218335,2.39522279030957e-5,0.2606725849640756,0.607389733620349
broad_archetype_tunedLow offensive profile,0.3938500635755096,0.20533215378313832,-4.53793998769577,5.68064200167298e-6,0.25949497614331174,0.5816537941893114
age_band35+,0.2248328807984827,0.14964585804300407,-9.972864764038587,2.003646227458252e-23,0.16749189291341532,0.30120287222367087
