age_plot,age_group,current_archetype,next_state,n,transition_prob,small_cell
22,22 and under,Complete,Complete,2,0.5,TRUE
22,22 and under,Complete,Power-based,1,0.25,TRUE
22,22 and under,Complete,Contact/discipline-based,1,0.25,TRUE
22,22 and under,Power-based,Complete,5,0.09433962264150944,FALSE
22,22 and under,Power-based,Power-based,26,0.49056603773584906,FALSE
22,22 and under,Power-based,Contact/discipline-based,3,0.05660377358490566,FALSE
22,22 and under,Power-based,Middle-profile,2,0.03773584905660377,FALSE
22,22 and under,Power-based,Low offensive profile,3,0.05660377358490566,FALSE
22,22 and under,Power-based,Reduced/limited role,3,0.05660377358490566,FALSE
22,22 and under,Power-based,Exited MLB,11,0.20754716981132076,FALSE
22,22 and under,Contact/discipline-based,Complete,1,0.021739130434782608,FALSE
22,22 and under,Contact/discipline-based,Power-based,6,0.13043478260869565,FALSE
22,22 and under,Contact/discipline-based,Contact/discipline-based,20,0.43478260869565216,FALSE
22,22 and under,Contact/discipline-based,Middle-profile,2,0.043478260869565216,FALSE
22,22 and under,Contact/discipline-based,Low offensive profile,8,0.17391304347826086,FALSE
22,22 and under,Contact/discipline-based,Reduced/limited role,2,0.043478260869565216,FALSE
22,22 and under,Contact/discipline-based,Exited MLB,7,0.15217391304347827,FALSE
22,22 and under,Middle-profile,Complete,1,0.06666666666666667,FALSE
22,22 and under,Middle-profile,Power-based,3,0.2,FALSE
22,22 and under,Middle-profile,Contact/discipline-based,3,0.2,FALSE
22,22 and under,Middle-profile,Middle-profile,4,0.26666666666666666,FALSE
22,22 and under,Middle-profile,Reduced/limited role,1,0.06666666666666667,FALSE
22,22 and under,Middle-profile,Exited MLB,3,0.2,FALSE
22,22 and under,Low offensive profile,Power-based,6,0.15,FALSE
22,22 and under,Low offensive profile,Contact/discipline-based,7,0.175,FALSE
22,22 and under,Low offensive profile,Middle-profile,2,0.05,FALSE
22,22 and under,Low offensive profile,Low offensive profile,16,0.4,FALSE
22,22 and under,Low offensive profile,Reduced/limited role,1,0.025,FALSE
22,22 and under,Low offensive profile,Exited MLB,8,0.2,FALSE
23,23,Complete,Complete,3,0.3333333333333333,TRUE
23,23,Complete,Power-based,3,0.3333333333333333,TRUE
23,23,Complete,Contact/discipline-based,1,0.1111111111111111,TRUE
23,23,Complete,Middle-profile,1,0.1111111111111111,TRUE
23,23,Complete,Exited MLB,1,0.1111111111111111,TRUE
23,23,Power-based,Complete,1,0.0196078431372549,FALSE
23,23,Power-based,Power-based,31,0.6078431372549019,FALSE
23,23,Power-based,Contact/discipline-based,3,0.058823529411764705,FALSE
23,23,Power-based,Middle-profile,3,0.058823529411764705,FALSE
23,23,Power-based,Low offensive profile,5,0.09803921568627451,FALSE
23,23,Power-based,Exited MLB,8,0.1568627450980392,FALSE
23,23,Contact/discipline-based,Complete,3,0.04838709677419355,FALSE
23,23,Contact/discipline-based,Power-based,5,0.08064516129032258,FALSE
23,23,Contact/discipline-based,Contact/discipline-based,28,0.45161290322580644,FALSE
23,23,Contact/discipline-based,Middle-profile,2,0.03225806451612903,FALSE
23,23,Contact/discipline-based,Low offensive profile,11,0.1774193548387097,FALSE
23,23,Contact/discipline-based,Reduced/limited role,2,0.03225806451612903,FALSE
23,23,Contact/discipline-based,Exited MLB,11,0.1774193548387097,FALSE
23,23,Middle-profile,Complete,1,0.043478260869565216,FALSE
23,23,Middle-profile,Power-based,4,0.17391304347826086,FALSE
23,23,Middle-profile,Contact/discipline-based,3,0.13043478260869565,FALSE
23,23,Middle-profile,Middle-profile,3,0.13043478260869565,FALSE
23,23,Middle-profile,Low offensive profile,6,0.2608695652173913,FALSE
23,23,Middle-profile,Reduced/limited role,3,0.13043478260869565,FALSE
23,23,Middle-profile,Exited MLB,3,0.13043478260869565,FALSE
23,23,Low offensive profile,Power-based,9,0.17307692307692307,FALSE
23,23,Low offensive profile,Contact/discipline-based,8,0.15384615384615385,FALSE
23,23,Low offensive profile,Middle-profile,5,0.09615384615384616,FALSE
23,23,Low offensive profile,Low offensive profile,17,0.3269230769230769,FALSE
23,23,Low offensive profile,Reduced/limited role,6,0.11538461538461539,FALSE
23,23,Low offensive profile,Exited MLB,7,0.1346153846153846,FALSE
24,24,Complete,Complete,5,0.35714285714285715,FALSE
24,24,Complete,Power-based,3,0.21428571428571427,FALSE
24,24,Complete,Contact/discipline-based,3,0.21428571428571427,FALSE
24,24,Complete,Middle-profile,1,0.07142857142857142,FALSE
24,24,Complete,Reduced/limited role,1,0.07142857142857142,FALSE
24,24,Complete,Exited MLB,1,0.07142857142857142,FALSE
24,24,Power-based,Complete,5,0.04132231404958678,FALSE
24,24,Power-based,Power-based,57,0.47107438016528924,FALSE
24,24,Power-based,Contact/discipline-based,13,0.10743801652892562,FALSE
24,24,Power-based,Middle-profile,9,0.0743801652892562,FALSE
24,24,Power-based,Low offensive profile,17,0.14049586776859505,FALSE
24,24,Power-based,Reduced/limited role,3,0.024793388429752067,FALSE
24,24,Power-based,Exited MLB,17,0.14049586776859505,FALSE
24,24,Contact/discipline-based,Complete,1,0.011627906976744186,FALSE
24,24,Contact/discipline-based,Power-based,7,0.08139534883720931,FALSE
24,24,Contact/discipline-based,Contact/discipline-based,51,0.5930232558139535,FALSE
24,24,Contact/discipline-based,Middle-profile,6,0.06976744186046512,FALSE
24,24,Contact/discipline-based,Low offensive profile,3,0.03488372093023256,FALSE
24,24,Contact/discipline-based,Reduced/limited role,6,0.06976744186046512,FALSE
24,24,Contact/discipline-based,Exited MLB,12,0.13953488372093023,FALSE
24,24,Middle-profile,Power-based,5,0.14285714285714285,FALSE
24,24,Middle-profile,Contact/discipline-based,8,0.22857142857142856,FALSE
24,24,Middle-profile,Middle-profile,6,0.17142857142857143,FALSE
24,24,Middle-profile,Low offensive profile,5,0.14285714285714285,FALSE
24,24,Middle-profile,Reduced/limited role,1,0.02857142857142857,FALSE
24,24,Middle-profile,Exited MLB,10,0.2857142857142857,FALSE
24,24,Low offensive profile,Power-based,20,0.19801980198019803,FALSE
24,24,Low offensive profile,Contact/discipline-based,15,0.1485148514851485,FALSE
24,24,Low offensive profile,Middle-profile,8,0.07920792079207921,FALSE
24,24,Low offensive profile,Low offensive profile,36,0.3564356435643564,FALSE
24,24,Low offensive profile,Reduced/limited role,12,0.1188118811881188,FALSE
24,24,Low offensive profile,Exited MLB,10,0.09900990099009901,FALSE
25,25,Complete,Complete,8,0.5,FALSE
25,25,Complete,Power-based,3,0.1875,FALSE
25,25,Complete,Contact/discipline-based,4,0.25,FALSE
25,25,Complete,Exited MLB,1,0.0625,FALSE
25,25,Power-based,Complete,8,0.05925925925925926,FALSE
25,25,Power-based,Power-based,67,0.4962962962962963,FALSE
25,25,Power-based,Contact/discipline-based,15,0.1111111111111111,FALSE
25,25,Power-based,Middle-profile,8,0.05925925925925926,FALSE
25,25,Power-based,Low offensive profile,16,0.11851851851851852,FALSE
25,25,Power-based,Reduced/limited role,6,0.044444444444444446,FALSE
25,25,Power-based,Exited MLB,15,0.1111111111111111,FALSE
25,25,Contact/discipline-based,Complete,7,0.04827586206896552,FALSE
25,25,Contact/discipline-based,Power-based,8,0.05517241379310345,FALSE
25,25,Contact/discipline-based,Contact/discipline-based,74,0.5103448275862069,FALSE
25,25,Contact/discipline-based,Middle-profile,8,0.05517241379310345,FALSE
25,25,Contact/discipline-based,Low offensive profile,14,0.09655172413793103,FALSE
25,25,Contact/discipline-based,Reduced/limited role,8,0.05517241379310345,FALSE
25,25,Contact/discipline-based,Exited MLB,26,0.1793103448275862,FALSE
25,25,Middle-profile,Power-based,12,0.21818181818181817,FALSE
25,25,Middle-profile,Contact/discipline-based,14,0.2545454545454545,FALSE
25,25,Middle-profile,Middle-profile,15,0.2727272727272727,FALSE
25,25,Middle-profile,Low offensive profile,4,0.07272727272727272,FALSE
25,25,Middle-profile,Reduced/limited role,3,0.05454545454545454,FALSE
25,25,Middle-profile,Exited MLB,7,0.12727272727272726,FALSE
25,25,Low offensive profile,Complete,1,0.008547008547008548,FALSE
25,25,Low offensive profile,Power-based,15,0.1282051282051282,FALSE
25,25,Low offensive profile,Contact/discipline-based,14,0.11965811965811966,FALSE
25,25,Low offensive profile,Middle-profile,10,0.08547008547008547,FALSE
25,25,Low offensive profile,Low offensive profile,37,0.3162393162393162,FALSE
25,25,Low offensive profile,Reduced/limited role,21,0.1794871794871795,FALSE
25,25,Low offensive profile,Exited MLB,19,0.1623931623931624,FALSE
26,26,Complete,Complete,8,0.2857142857142857,FALSE
26,26,Complete,Power-based,7,0.25,FALSE
26,26,Complete,Contact/discipline-based,4,0.14285714285714285,FALSE
26,26,Complete,Middle-profile,3,0.10714285714285714,FALSE
26,26,Complete,Low offensive profile,2,0.07142857142857142,FALSE
26,26,Complete,Exited MLB,4,0.14285714285714285,FALSE
26,26,Power-based,Complete,7,0.051094890510948905,FALSE
26,26,Power-based,Power-based,73,0.5328467153284672,FALSE
26,26,Power-based,Contact/discipline-based,8,0.058394160583941604,FALSE
26,26,Power-based,Middle-profile,5,0.0364963503649635,FALSE
26,26,Power-based,Low offensive profile,20,0.145985401459854,FALSE
26,26,Power-based,Reduced/limited role,7,0.051094890510948905,FALSE
26,26,Power-based,Exited MLB,17,0.12408759124087591,FALSE
26,26,Contact/discipline-based,Complete,2,0.011834319526627219,FALSE
26,26,Contact/discipline-based,Power-based,9,0.05325443786982249,FALSE
26,26,Contact/discipline-based,Contact/discipline-based,91,0.5384615384615384,FALSE
26,26,Contact/discipline-based,Middle-profile,13,0.07692307692307693,FALSE
26,26,Contact/discipline-based,Low offensive profile,11,0.0650887573964497,FALSE
26,26,Contact/discipline-based,Reduced/limited role,12,0.07100591715976332,FALSE
