age_plot,broad_archetype_tuned,player_seasons,players,share
22,Complete,6,5,0.03296703296703297
22,Power-based,61,50,0.33516483516483514
22,Contact/discipline-based,55,47,0.3021978021978022
22,Middle-profile,17,16,0.09340659340659341
22,Low offensive profile,43,36,0.23626373626373626
23,Complete,10,10,0.04524886877828054
23,Power-based,56,56,0.25339366515837103
23,Contact/discipline-based,68,68,0.3076923076923077
23,Middle-profile,27,27,0.12217194570135746
23,Low offensive profile,59,59,0.2669683257918552
23,NA,1,1,0.004524886877828055
24,Complete,16,16,0.04020100502512563
24,Power-based,135,135,0.3391959798994975
24,Contact/discipline-based,97,97,0.24371859296482412
24,Middle-profile,36,36,0.09045226130653267
24,Low offensive profile,112,112,0.2814070351758794
24,NA,2,2,0.005025125628140704
25,Complete,16,16,0.030418250950570342
25,Power-based,150,150,0.28517110266159695
25,Contact/discipline-based,164,164,0.311787072243346
25,Middle-profile,57,57,0.10836501901140684
25,Low offensive profile,134,134,0.25475285171102663
25,NA,5,5,0.009505703422053232
26,Complete,34,34,0.05619834710743802
26,Power-based,155,155,0.256198347107438
26,Contact/discipline-based,183,183,0.30247933884297523
26,Middle-profile,66,66,0.10909090909090909
26,Low offensive profile,158,158,0.2611570247933884
26,NA,9,9,0.01487603305785124
27,Complete,24,24,0.03896103896103896
27,Power-based,174,174,0.2824675324675325
27,Contact/discipline-based,186,186,0.30194805194805197
27,Middle-profile,67,67,0.10876623376623376
27,Low offensive profile,157,157,0.25487012987012986
27,NA,8,8,0.012987012987012988
28,Complete,22,22,0.038128249566724434
28,Power-based,161,161,0.27902946273830154
28,Contact/discipline-based,181,181,0.31369150779896016
28,Middle-profile,64,64,0.11091854419410745
28,Low offensive profile,144,144,0.24956672443674177
28,NA,5,5,0.008665511265164644
29,Complete,23,23,0.045454545454545456
29,Power-based,146,146,0.2885375494071146
29,Contact/discipline-based,168,168,0.33201581027667987
29,Middle-profile,53,53,0.10474308300395258
29,Low offensive profile,113,113,0.22332015810276679
29,NA,3,3,0.005928853754940711
30,Complete,24,24,0.05755395683453238
30,Power-based,128,128,0.3069544364508393
30,Contact/discipline-based,135,135,0.3237410071942446
30,Middle-profile,40,40,0.09592326139088729
30,Low offensive profile,86,86,0.20623501199040767
30,NA,4,4,0.009592326139088728
31,Complete,23,23,0.06068601583113457
31,Power-based,120,120,0.316622691292876
31,Contact/discipline-based,124,124,0.32717678100263853
31,Middle-profile,36,36,0.09498680738786279
31,Low offensive profile,74,74,0.19525065963060687
31,NA,2,2,0.005277044854881266
32,Complete,18,18,0.05202312138728324
32,Power-based,89,89,0.25722543352601157
32,Contact/discipline-based,130,130,0.37572254335260113
32,Middle-profile,36,36,0.10404624277456648
32,Low offensive profile,71,71,0.20520231213872833
32,NA,2,2,0.005780346820809248
33,Complete,11,11,0.040892193308550186
33,Power-based,71,71,0.26394052044609667
33,Contact/discipline-based,102,102,0.379182156133829
33,Middle-profile,31,31,0.11524163568773234
33,Low offensive profile,53,53,0.1970260223048327
33,NA,1,1,0.0037174721189591076
34,Complete,10,10,0.045454545454545456
34,Power-based,62,62,0.2818181818181818
34,Contact/discipline-based,86,86,0.39090909090909093
34,Middle-profile,18,18,0.08181818181818182
34,Low offensive profile,44,44,0.2
35,Complete,7,7,0.04861111111111111
35,Power-based,39,39,0.2708333333333333
35,Contact/discipline-based,58,58,0.4027777777777778
35,Middle-profile,14,14,0.09722222222222222
35,Low offensive profile,26,26,0.18055555555555555
36,Complete,9,9,0.09782608695652174
36,Power-based,26,26,0.2826086956521739
36,Contact/discipline-based,36,36,0.391304347826087
36,Middle-profile,6,6,0.06521739130434782
36,Low offensive profile,15,15,0.16304347826086957
37,Complete,3,3,0.05172413793103448
37,Power-based,19,19,0.3275862068965517
37,Contact/discipline-based,22,22,0.3793103448275862
37,Middle-profile,5,5,0.08620689655172414
37,Low offensive profile,9,9,0.15517241379310345
38,Complete,4,4,0.1
38,Power-based,11,11,0.275
38,Contact/discipline-based,10,10,0.25
38,Middle-profile,4,4,0.1
38,Low offensive profile,11,11,0.275
39,Power-based,4,4,0.2222222222222222
39,Contact/discipline-based,9,9,0.5
39,Middle-profile,2,2,0.1111111111111111
39,Low offensive profile,3,3,0.16666666666666666
40,Complete,3,2,0.1111111111111111
40,Power-based,5,3,0.18518518518518517
40,Contact/discipline-based,13,10,0.48148148148148145
40,Middle-profile,2,2,0.07407407407407407
40,Low offensive profile,4,4,0.14814814814814814
