age_band,broad_archetype_tuned,player_seasons,share
24 and under,Complete,32,0.039950062421972535
24 and under,Power-based,252,0.3146067415730337
24 and under,Contact/discipline-based,220,0.2746566791510612
24 and under,Middle-profile,80,0.09987515605493133
24 and under,Low offensive profile,214,0.2671660424469413
24 and under,NA,3,0.003745318352059925
25-29,Complete,119,0.04204946996466431
25-29,Power-based,786,0.2777385159010601
25-29,Contact/discipline-based,882,0.311660777385159
25-29,Middle-profile,307,0.10848056537102474
25-29,Low offensive profile,706,0.24946996466431096
25-29,NA,30,0.01060070671378092
30-34,Complete,86,0.05272838749233599
30-34,Power-based,470,0.28816676885346415
30-34,Contact/discipline-based,577,0.3537706928264868
30-34,Middle-profile,161,0.09871244635193133
30-34,Low offensive profile,328,0.20110361741263028
30-34,NA,9,0.005518087063151441
35+,Complete,26,0.06860158311345646
35+,Power-based,104,0.27440633245382584
35+,Contact/discipline-based,148,0.39050131926121373
35+,Middle-profile,33,0.0870712401055409
35+,Low offensive profile,68,0.17941952506596306
