batter,season,oaa
547989,2016,-5
542436,2016,3
571431,2016,4
605113,2016,16
475174,2016,2
514888,2016,-3
641313,2016,6
462101,2016,-5
493114,2016,-2
606115,2016,0
571448,2016,19
430947,2016,-5
446381,2016,10
430832,2016,-2
493596,2016,0
542921,2016,-3
474832,2016,1
134181,2016,13
605141,2016,15
453568,2016,-2
593428,2016,-17
488721,2016,9
456422,2016,1
598265,2016,12
460075,2016,-9
457803,2016,0
592178,2016,7
542993,2016,0
621439,2016,9
595879,2016,14
452678,2016,-3
466320,2016,-12
408234,2016,6
456715,2016,7
594777,2016,0
429664,2016,10
572761,2016,-1
474892,2016,6
592206,2016,-2
516770,2016,12
493316,2016,-12
502082,2016,-4
458085,2016,-2
621043,2016,-18
446359,2016,-12
543063,2016,7
424825,2016,-1
543068,2016,-2
596144,2016,-2
448801,2016,-5
501981,2016,4
434658,2016,-2
474443,2016,-3
518614,2016,-2
435622,2016,2
518618,2016,0
518626,2016,-2
572821,2016,9
592273,2016,-8
622110,2016,6
594807,2016,3
502481,2016,5
649557,2016,-11
594809,2016,18
453056,2016,4
429665,2016,-4
444876,2016,6
500871,2016,3
488862,2016,-11
457787,2016,-2
527038,2016,-6
523253,2016,0
451594,2016,-2
596748,2016,-5
453943,2016,4
518692,2016,13
501896,2016,1
520471,2016,9
594824,2016,-4
611177,2016,-7
458731,2016,3
571697,2016,-6
543213,2016,1
572365,2016,4
502671,2016,1
503556,2016,9
408236,2016,-3
471865,2016,-2
460086,2016,3
434158,2016,2
544369,2016,-8
545341,2016,-2
446386,2016,1
576397,2016,7
460576,2016,-6
571740,2016,22
429666,2016,2
547180,2016,-4
543281,2016,6
452104,2016,6
592387,2016,2
588751,2016,11
514917,2016,5
546318,2016,5
518792,2016,14
543305,2016,-1
431094,2016,-1
571788,2016,1
543333,2016,-9
578428,2016,10
542255,2016,20
608671,2016,7
445055,2016,-4
430637,2016,-5
430945,2016,4
628356,2016,5
461314,2016,-24
435062,2016,0
596146,2016,14
595281,2016,13
435079,2016,9
543401,2016,0
571875,2016,4
543434,2016,-6
518934,2016,4
596019,2016,18
425766,2016,1
446334,2016,-1
476704,2016,-12
592518,2016,9
545350,2016,14
455976,2016,-2
606466,2016,-3
516782,2016,-2
547982,2016,11
502110,2016,-11
408045,2016,8
457727,2016,-4
608577,2016,0
457705,2016,-14
474568,2016,8
593160,2016,-1
543543,2016,-23
519048,2016,5
461235,2016,1
502517,2016,-16
571976,2016,7
435063,2016,-1
571980,2016,-11
543590,2016,1
456488,2016,-4
502523,2016,-4
596059,2016,0
449181,2016,8
572008,2016,-9
542303,2016,-1
434636,2016,-2
605412,2016,8
592626,2016,2
456030,2016,-7
452254,2016,-4
460060,2016,4
425509,2016,-1
606299,2016,2
607054,2016,3
463610,2016,-2
408252,2016,-16
607680,2016,11
572039,2016,3
461858,2016,-3
570256,2016,4
593871,2016,-6
445988,2016,-4
595777,2016,6
624577,2016,5
541650,2016,3
493351,2016,-15
434670,2016,1
608070,2016,13
458675,2016,3
502210,2016,2
543685,2016,-1
519184,2016,4
408314,2016,-2
448602,2016,2
519203,2016,0
446481,2016,2
500743,2016,2
461865,2016,3
489267,2016,2
592696,2016,4
608365,2016,20
573135,2016,1
542454,2016,-4
593934,2016,-11
596143,2016,-9
459431,2016,-4
572114,2016,0
570731,2016,13
608369,2016,-16
572122,2016,11
516416,2016,11
543760,2016,-6
543768,2016,-3
592743,2016,12
452234,2016,-6
519295,2016,2
500208,2016,-1
519306,2016,4
452655,2016,-3
543807,2016,2
519317,2016,1
596115,2016,4
543829,2016,-1
553993,2016,6
407893,2016,2
630111,2016,-18
581527,2016,2
545361,2016,-3
444432,2016,-16
453064,2016,-2
457759,2016,7
607208,2016,6
425834,2016,1
457708,2016,-5
346874,2016,2
400284,2016,-8
472528,2016,-2
502143,2016,-9
542340,2016,-22
458015,2016,-9
435522,2016,-7
150029,2016,-4
543939,2016,4
592885,2016,6
475582,2016,8
450314,2016,-7
547989,2017,4
501303,2017,2
546991,2017,-1
475174,2017,-4
571437,2017,1
514888,2017,0
641313,2017,-10
462101,2017,6
606115,2017,5
571448,2017,10
641319,2017,-1
430947,2017,-11
446381,2017,-5
