batter,season,full_name,birth_date,height,weight,current_age,bat_side,throw_hand,primary_position,height_inches,age
465668,2015,Roger Bernadina,1984-06-12,"6' 2""",210,41,L,L,LF,74,31
465668,2016,Roger Bernadina,1984-06-12,"6' 2""",210,41,L,L,LF,74,32
465668,2017,Roger Bernadina,1984-06-12,"6' 2""",210,41,L,L,LF,74,33
465668,2018,Roger Bernadina,1984-06-12,"6' 2""",210,41,L,L,LF,74,34
465668,2019,Roger Bernadina,1984-06-12,"6' 2""",210,41,L,L,LF,74,35
465668,2020,Roger Bernadina,1984-06-12,"6' 2""",210,41,L,L,LF,74,36
465668,2021,Roger Bernadina,1984-06-12,"6' 2""",210,41,L,L,LF,74,37
465668,2022,Roger Bernadina,1984-06-12,"6' 2""",210,41,L,L,LF,74,38
465668,2023,Roger Bernadina,1984-06-12,"6' 2""",210,41,L,L,LF,74,39
465668,2024,Roger Bernadina,1984-06-12,"6' 2""",210,41,L,L,LF,74,40
465668,2025,Roger Bernadina,1984-06-12,"6' 2""",210,41,L,L,LF,74,41
488681,2015,Brandon Barnes,1986-05-15,"6' 2""",210,39,R,R,CF,74,29
488681,2016,Brandon Barnes,1986-05-15,"6' 2""",210,39,R,R,CF,74,30
488681,2017,Brandon Barnes,1986-05-15,"6' 2""",210,39,R,R,CF,74,31
488681,2018,Brandon Barnes,1986-05-15,"6' 2""",210,39,R,R,CF,74,32
488681,2019,Brandon Barnes,1986-05-15,"6' 2""",210,39,R,R,CF,74,33
488681,2020,Brandon Barnes,1986-05-15,"6' 2""",210,39,R,R,CF,74,34
488681,2021,Brandon Barnes,1986-05-15,"6' 2""",210,39,R,R,CF,74,35
488681,2022,Brandon Barnes,1986-05-15,"6' 2""",210,39,R,R,CF,74,36
488681,2023,Brandon Barnes,1986-05-15,"6' 2""",210,39,R,R,CF,74,37
488681,2024,Brandon Barnes,1986-05-15,"6' 2""",210,39,R,R,CF,74,38
488681,2025,Brandon Barnes,1986-05-15,"6' 2""",210,39,R,R,CF,74,39
430652,2015,Jason Bourgeois,1982-01-04,"5' 9""",195,44,R,R,CF,69,33
430652,2016,Jason Bourgeois,1982-01-04,"5' 9""",195,44,R,R,CF,69,34
430652,2017,Jason Bourgeois,1982-01-04,"5' 9""",195,44,R,R,CF,69,35
430652,2018,Jason Bourgeois,1982-01-04,"5' 9""",195,44,R,R,CF,69,36
430652,2019,Jason Bourgeois,1982-01-04,"5' 9""",195,44,R,R,CF,69,37
430652,2020,Jason Bourgeois,1982-01-04,"5' 9""",195,44,R,R,CF,69,38
430652,2021,Jason Bourgeois,1982-01-04,"5' 9""",195,44,R,R,CF,69,39
430652,2022,Jason Bourgeois,1982-01-04,"5' 9""",195,44,R,R,CF,69,40
430652,2023,Jason Bourgeois,1982-01-04,"5' 9""",195,44,R,R,CF,69,41
430652,2024,Jason Bourgeois,1982-01-04,"5' 9""",195,44,R,R,CF,69,42
430652,2025,Jason Bourgeois,1982-01-04,"5' 9""",195,44,R,R,CF,69,43
542436,2015,Cristhian Adames,1991-07-26,"5' 11""",217,34,S,R,SS,71,24
542436,2016,Cristhian Adames,1991-07-26,"5' 11""",217,34,S,R,SS,71,25
542436,2017,Cristhian Adames,1991-07-26,"5' 11""",217,34,S,R,SS,71,26
542436,2018,Cristhian Adames,1991-07-26,"5' 11""",217,34,S,R,SS,71,27
542436,2019,Cristhian Adames,1991-07-26,"5' 11""",217,34,S,R,SS,71,28
542436,2020,Cristhian Adames,1991-07-26,"5' 11""",217,34,S,R,SS,71,29
542436,2021,Cristhian Adames,1991-07-26,"5' 11""",217,34,S,R,SS,71,30
542436,2022,Cristhian Adames,1991-07-26,"5' 11""",217,34,S,R,SS,71,31
542436,2023,Cristhian Adames,1991-07-26,"5' 11""",217,34,S,R,SS,71,32
542436,2024,Cristhian Adames,1991-07-26,"5' 11""",217,34,S,R,SS,71,33
542436,2025,Cristhian Adames,1991-07-26,"5' 11""",217,34,S,R,SS,71,34
572287,2015,Mike Zunino,1991-03-25,"6' 2""",235,35,R,R,C,74,24
572287,2016,Mike Zunino,1991-03-25,"6' 2""",235,35,R,R,C,74,25
572287,2017,Mike Zunino,1991-03-25,"6' 2""",235,35,R,R,C,74,26
572287,2018,Mike Zunino,1991-03-25,"6' 2""",235,35,R,R,C,74,27
572287,2019,Mike Zunino,1991-03-25,"6' 2""",235,35,R,R,C,74,28
572287,2020,Mike Zunino,1991-03-25,"6' 2""",235,35,R,R,C,74,29
572287,2021,Mike Zunino,1991-03-25,"6' 2""",235,35,R,R,C,74,30
572287,2022,Mike Zunino,1991-03-25,"6' 2""",235,35,R,R,C,74,31
572287,2023,Mike Zunino,1991-03-25,"6' 2""",235,35,R,R,C,74,32
572287,2024,Mike Zunino,1991-03-25,"6' 2""",235,35,R,R,C,74,33
572287,2025,Mike Zunino,1991-03-25,"6' 2""",235,35,R,R,C,74,34
518614,2015,Daniel Descalso,1986-10-19,"5' 10""",190,39,L,R,2B,70,29
518614,2016,Daniel Descalso,1986-10-19,"5' 10""",190,39,L,R,2B,70,30
518614,2017,Daniel Descalso,1986-10-19,"5' 10""",190,39,L,R,2B,70,31
518614,2018,Daniel Descalso,1986-10-19,"5' 10""",190,39,L,R,2B,70,32
518614,2019,Daniel Descalso,1986-10-19,"5' 10""",190,39,L,R,2B,70,33
518614,2020,Daniel Descalso,1986-10-19,"5' 10""",190,39,L,R,2B,70,34
518614,2021,Daniel Descalso,1986-10-19,"5' 10""",190,39,L,R,2B,70,35
518614,2022,Daniel Descalso,1986-10-19,"5' 10""",190,39,L,R,2B,70,36
518614,2023,Daniel Descalso,1986-10-19,"5' 10""",190,39,L,R,2B,70,37
518614,2024,Daniel Descalso,1986-10-19,"5' 10""",190,39,L,R,2B,70,38
518614,2025,Daniel Descalso,1986-10-19,"5' 10""",190,39,L,R,2B,70,39
642094,2015,Tyler Smith,1991-07-01,"6' 0""",195,34,R,R,SS,72,24
642094,2016,Tyler Smith,1991-07-01,"6' 0""",195,34,R,R,SS,72,25
642094,2017,Tyler Smith,1991-07-01,"6' 0""",195,34,R,R,SS,72,26
642094,2018,Tyler Smith,1991-07-01,"6' 0""",195,34,R,R,SS,72,27
642094,2019,Tyler Smith,1991-07-01,"6' 0""",195,34,R,R,SS,72,28
642094,2020,Tyler Smith,1991-07-01,"6' 0""",195,34,R,R,SS,72,29
642094,2021,Tyler Smith,1991-07-01,"6' 0""",195,34,R,R,SS,72,30
642094,2022,Tyler Smith,1991-07-01,"6' 0""",195,34,R,R,SS,72,31
642094,2023,Tyler Smith,1991-07-01,"6' 0""",195,34,R,R,SS,72,32
642094,2024,Tyler Smith,1991-07-01,"6' 0""",195,34,R,R,SS,72,33
642094,2025,Tyler Smith,1991-07-01,"6' 0""",195,34,R,R,SS,72,34
605486,2015,Cory Spangenberg,1991-03-16,"6' 0""",195,35,L,R,2B,72,24
605486,2016,Cory Spangenberg,1991-03-16,"6' 0""",195,35,L,R,2B,72,25
605486,2017,Cory Spangenberg,1991-03-16,"6' 0""",195,35,L,R,2B,72,26
605486,2018,Cory Spangenberg,1991-03-16,"6' 0""",195,35,L,R,2B,72,27
605486,2019,Cory Spangenberg,1991-03-16,"6' 0""",195,35,L,R,2B,72,28
605486,2020,Cory Spangenberg,1991-03-16,"6' 0""",195,35,L,R,2B,72,29
605486,2021,Cory Spangenberg,1991-03-16,"6' 0""",195,35,L,R,2B,72,30
605486,2022,Cory Spangenberg,1991-03-16,"6' 0""",195,35,L,R,2B,72,31
605486,2023,Cory Spangenberg,1991-03-16,"6' 0""",195,35,L,R,2B,72,32
605486,2024,Cory Spangenberg,1991-03-16,"6' 0""",195,35,L,R,2B,72,33
605486,2025,Cory Spangenberg,1991-03-16,"6' 0""",195,35,L,R,2B,72,34
623182,2015,Patrick Kivlehan,1989-12-22,"6' 2""",215,36,R,R,RF,74,26
623182,2016,Patrick Kivlehan,1989-12-22,"6' 2""",215,36,R,R,RF,74,27
623182,2017,Patrick Kivlehan,1989-12-22,"6' 2""",215,36,R,R,RF,74,28
623182,2018,Patrick Kivlehan,1989-12-22,"6' 2""",215,36,R,R,RF,74,29
623182,2019,Patrick Kivlehan,1989-12-22,"6' 2""",215,36,R,R,RF,74,30
623182,2020,Patrick Kivlehan,1989-12-22,"6' 2""",215,36,R,R,RF,74,31
623182,2021,Patrick Kivlehan,1989-12-22,"6' 2""",215,36,R,R,RF,74,32
623182,2022,Patrick Kivlehan,1989-12-22,"6' 2""",215,36,R,R,RF,74,33
623182,2023,Patrick Kivlehan,1989-12-22,"6' 2""",215,36,R,R,RF,74,34
623182,2024,Patrick Kivlehan,1989-12-22,"6' 2""",215,36,R,R,RF,74,35
