batter,season,player_name,pitches_seen,plate_appearances,batted_balls,pitches_in_zone,pitches_out_zone,swing_rate,contact_rate,whiff_rate,take_rate,zone_swing_rate,chase_rate,zone_contact_rate,out_zone_contact_rate,zone_whiff_rate,out_zone_whiff_rate,zone_take_rate,out_zone_take_rate,called_strike_rate,called_strike_in_zone_rate,ball_out_zone_rate,chase_minus_zone_swing,contact_gap,ev_mean,ev_sd,ev_min,ev_p10,ev_p25,ev_median,ev_p75,ev_p90,ev_p95,ev_max,ev_iqr,weak_contact_rate,medium_contact_rate,hard_hit_rate,elite_ev_rate,top_end_ev_rate,la_mean,la_sd,la_min,la_p10,la_p25,la_median,la_p75,la_p90,la_max,la_iqr,ground_ball_rate,line_drive_rate,fly_ball_rate,popup_rate,sweet_spot_rate,hard_sweet_spot_rate,distance_mean,distance_sd,distance_p75,distance_p90,distance_max,xba,xwoba,woba,run_value,run_value_per_pa,barrel_rate,solid_contact_rate,flare_burner_rate,poorly_hit_rate,bat_speed_mean,bat_speed_sd,bat_speed_p75,bat_speed_p90,swing_length_mean,swing_length_sd,swing_length_p75,swing_length_p90,full_name,birth_date,height,weight,current_age,bat_side,throw_hand,primary_position,height_inches,age,oaa,sprint_speed,next_observed_season,survived_next_year
116338,2015,"Hunter, Torii",1849,1849,434,897,887,0.5392103839913467,0.7843530591775326,0.2156469408224674,0.45754461871281776,0.7290969899665551,0.32919954904171367,0.8409785932721713,0.6643835616438356,0.15902140672782875,0.3356164383561644,0.2686733556298774,0.6662908680947013,0.1276365603028664,0.22073578595317725,0.616685456595265,-0.3998974409248415,0.17659503162833567,87.11912442396313,13.779935816333321,36.4,69.23,80,89.1,97.475,103.11,105.3,108.6,17.474999999999994,0.16589861751152074,0.5138248847926268,0.32027649769585254,0.17972350230414746,0.059907834101382486,11.516129032258064,27.584779545596437,-65,-21,-9,9,31,48.69999999999999,70,40,0.5023041474654378,0.16129032258064516,0.23963133640552994,0.0967741935483871,0.2903225806451613,0.12442396313364056,162.88861386138615,138.50549332589134,295.25,347.4,430,0.288164265129683,0.29496830462184875,0.320754716981132,0.9999999999999996,5.408328826392642e-4,0.05698005698005698,0.045584045584045586,0.2222222222222222,0.12817739318550567,NA,NA,NA,NA,NA,NA,NA,NA,Torii Hunter,1975-07-18,"6' 2""",220,50,R,R,CF,74,40,NA,26.5,NA,NA
120074,2015,"Ortiz, David",2219,2219,443,874,1274,0.45290671473636773,0.7631840796019901,0.23681592039800994,0.5250112663361874,0.7025171624713958,0.26609105180533754,0.8452768729641694,0.6460176991150443,0.15472312703583063,0.35398230088495575,0.2951945080091533,0.6970172684458399,0.13384407390716538,0.22654462242562928,0.6216640502354788,-0.4364261106660583,0.19925917384912517,92.56455981941309,12.619855574713092,36.4,76.6,84.1,93.8,102.8,107.3,109.3,113.6,18.700000000000003,0.08577878103837472,0.44243792325056436,0.4717832957110609,0.327313769751693,0.17155756207674944,15.10158013544018,25.773044816755387,-68,-17,-4,15,32,50,73,36,0.42437923250564336,0.21896162528216703,0.2505643340857788,0.10609480812641084,0.36794582392776526,0.24604966139954854,196.1246943765281,141.6354807708963,322,371,443,0.37825474254742547,0.4273923715953306,0.3799825174825176,27.59399999999994,0.012435331230283885,0.13793103448275862,0.08488063660477453,0.2572944297082228,0.08832807570977919,NA,NA,NA,NA,NA,NA,NA,NA,David Ortiz,1975-11-18,"6' 3""",230,50,L,L,DH,75,40,NA,23.1,2016,1
120074,2016,"Ortiz, David",2370,2370,594,921,1369,0.4451476793248945,0.8066350710900474,0.1933649289099526,0.5333333333333333,0.6872964169381107,0.26077428780131484,0.8925750394944708,0.7030812324929971,0.10742496050552923,0.2969187675070028,0.31053203040173727,0.706355003652301,0.1341772151898734,0.247557003257329,0.6398831263696129,-0.4265221291367959,0.18949380700147367,88.50521885521886,14.327036307099208,35,69.92,77.05,89.55,101.2,106.37,109.1,113.4,24.150000000000006,0.20202020202020202,0.4208754208754209,0.3771043771043771,0.2676767676767677,0.13804713804713806,21.365319865319865,28.12444417556001,-70,-19,2,21,40,59,88,38,0.29797979797979796,0.24074074074074073,0.2878787878787879,0.1734006734006734,0.38047138047138046,0.2239057239057239,199.12248628884825,131.61229549302217,310,373.80000000000007,442,0.3829039408866995,0.4415959964028777,0.4188589540412045,50.48000000000022,0.02129957805907182,0.16990291262135923,0.08737864077669903,0.2087378640776699,0.09282700421940929,NA,NA,NA,NA,NA,NA,NA,NA,David Ortiz,1975-11-18,"6' 3""",230,50,L,L,DH,75,41,NA,23.6,NA,NA
121347,2015,"Rodriguez, Alex",2266,2266,362,988,1168,0.44836716681376876,0.6840551181102362,0.3159448818897638,0.5445719329214475,0.6751012145748988,0.2457191780821918,0.767616191904048,0.5156794425087108,0.23238380809595202,0.4843205574912892,0.3248987854251012,0.740582191780822,0.15092674315975288,0.2722672064777328,0.6797945205479452,-0.429382036492707,0.25193674939533717,90.46767955801104,13.208027846229855,47.8,72.21999999999998,82.7,92.5,100.77499999999999,105.6,108.895,116.5,18.07499999999999,0.11878453038674033,0.45027624309392267,0.430939226519337,0.27900552486187846,0.1298342541436464,11.38121546961326,27.396614641400497,-58,-22.9,-7.75,13.5,30.75,48,69,38.5,0.44751381215469616,0.22099447513812154,0.23756906077348067,0.09392265193370165,0.3425414364640884,0.212707182320442,181.7735294117647,146.03965156153464,313.75,375,471,0.3452741433021807,0.3667064163498098,0.36403061224489797,25.88099999999987,0.011421447484554223,0.11042944785276074,0.08895705521472393,0.20245398773006135,0.08605472197705208,NA,NA,NA,NA,NA,NA,NA,NA,Alex Rodriguez,1975-07-27,"6' 3""",230,50,R,R,SS,75,40,NA,23.9,2016,1
121347,2016,"Rodriguez, Alex",911,911,219,394,438,0.49396267837541163,0.7244444444444444,0.27555555555555555,0.5060373216245884,0.6598984771573604,0.3310502283105023,0.7807692307692308,0.6068965517241379,0.21923076923076923,0.3931034482758621,0.3401015228426396,0.6689497716894978,0.16794731064763996,0.2893401015228426,0.6210045662100456,-0.3288482488468581,0.17387267904509285,84.93287671232876,14.556766970118922,48,68.03999999999999,73.5,84.3,96.35,103.92,106.7,112.3,22.849999999999994,0.2831050228310502,0.4520547945205479,0.2648401826484018,0.1780821917808219,0.0821917808219178,14.447488584474886,33.80313663576433,-76,-30.2,-11,18,39.5,59.400000000000034,83,50.5,0.4474885844748858,0.136986301369863,0.2374429223744292,0.1780821917808219,0.2511415525114155,0.1095890410958904,154.30392156862746,129.41085062856055,255.5,335.5000000000001,440,0.30506474820143886,0.28800863425925927,0.2764814814814815,-8.786000000000005,-0.009644346871569709,0.08450704225352113,0.04929577464788732,0.20422535211267606,0.10318331503841932,NA,NA,NA,NA,NA,NA,NA,NA,Alex Rodriguez,1975-07-27,"6' 3""",230,50,R,R,SS,75,41,NA,23.9,NA,NA
133380,2015,"Ramirez, Aramis",1677,1677,426,750,860,0.5396541443053071,0.8176795580110497,0.18232044198895028,0.45199761478831246,0.74,0.34651162790697676,0.8846846846846846,0.7181208053691275,0.11531531531531532,0.28187919463087246,0.26,0.6372093023255814,0.12343470483005367,0.21333333333333335,0.5767441860465117,-0.39348837209302323,0.16656387931555716,86.98732394366198,13.232632706732403,32.2,71.35,79.2,88.45,97.54999999999998,102.65,104.75,108.6,18.34999999999998,0.15258215962441316,0.5234741784037559,0.323943661971831,0.18309859154929578,0.046948356807511735,16.232394366197184,25.728171465524,-67,-16,-2,18,33,49,76,35,0.38967136150234744,0.2347417840375587,0.27699530516431925,0.09859154929577464,0.36619718309859156,0.16666666666666666,188.2752525252525,132.94589170105723,301,354,445,0.2781908831908832,0.30057867573696145,0.31310000000000004,1.6950000000000058,0.001010733452593921,0.05352112676056338,0.0676056338028169,0.23098591549295774,0.13714967203339296,NA,NA,NA,NA,NA,NA,NA,NA,Aramis Ramirez,1978-06-25,"6' 1""",205,47,R,R,3B,73,37,NA,24.3,NA,NA
134181,2015,"Beltré, Adrian",2057,2057,504,979,1072,0.48176956733106463,0.8395560040363269,0.16044399596367306,0.5133689839572193,0.6189989785495403,0.355410447761194,0.9026402640264026,0.7401574803149606,0.09735973597359736,0.25984251968503935,0.38100102145045966,0.6352611940298507,0.1754982984929509,0.3115423901940756,0.5802238805970149,-0.2635885307883463,0.16248278371144198,88.42539682539683,13.179551825586861,32.8,70.23,80.6,90.45,98.42500000000001,103.17,104.985,109.8,17.825000000000017,0.15873015873015872,0.4503968253968254,0.39087301587301587,0.19047619047619047,0.051587301587301584,13.509920634920634,25.734766977869043,-59,-20.699999999999996,-4.25,14,30,47,74,34.25,0.4226190476190476,0.25992063492063494,0.23015873015873015,0.0873015873015873,0.3611111111111111,0.20833333333333334,181.24217118997913,134.44289130042353,307,353.59999999999997,426,0.3337236533957845,0.3565700272373541,0.3455184534270654,3.847000000000038,0.001870199319397199,0.04849884526558892,0.08545034642032333,0.2702078521939954,0.12542537676227516,NA,NA,NA,NA,NA,NA,NA,NA,Adrian Beltré,1979-04-07,"5' 11""",220,47,R,R,3B,71,36,NA,26.4,2016,1
134181,2016,"Beltré, Adrian",2388,2388,725,1137,1238,0.490787269681742,0.8447098976109215,0.1552901023890785,0.5033500837520938,0.6473175021987687,0.3432956381260097,0.8926630434782609,0.7694117647058824,0.10733695652173914,0.23058823529411765,0.3526824978012313,0.6462035541195477,0.16415410385259632,0.2955145118733509,0.5961227786752827,-0.304021864072759,0.12325127877237851,85.8048275862069,13.515681147586156,33.8,68.1,75.5,86.7,96.9,102.78,104.6,109.9,21.400000000000006,0.2303448275862069,0.463448275862069,0.3062068965517241,0.18068965517241378,0.041379310344827586,19.528275862068966,29.998956481501864,-68,-21,-1,20,42,59,87,43,0.3544827586206897,0.20689655172413793,0.25517241379310346,0.18344827586206897,0.32275862068965516,0.15586206896551724,177.2796486090776,126.95255993392426,284.5,355,456,0.3232101910828026,0.36000846312178386,0.37432646592709995,22.20300000000003,0.00929773869346735,0.08456659619450317,0.048625792811839326,0.25158562367864695,0.12185929648241206,NA,NA,NA,NA,NA,NA,NA,NA,Adrian Beltré,1979-04-07,"5' 11""",220,47,R,R,3B,71,37,13,25.9,2017,1
134181,2017,"Beltré, Adrian",1450,1450,415,641,749,0.46620689655172415,0.8269230769230769,0.17307692307692307,0.5282758620689655,0.6599063962558502,0.3030707610146863,0.8817966903073287,0.7224669603524229,0.1182033096926714,0.2775330396475771,0.34009360374414976,0.6969292389853138,0.15655172413793103,0.30265210608424337,0.6555407209612817,-0.35683563524116396,0.1593297299549058,81.5990361445783,15.386649556546907,31.4,62,71.65,82.9,93,100.66,102.8,115.4,21.349999999999994,0.3325301204819277,0.4433734939759036,0.22409638554216868,0.10361445783132531,0.014457831325301205,17.843373493975903,29.403112789841593,-53,-21.599999999999994,-4,18,38.5,58.60000000000002,81,42.5,0.35903614457831323,0.21204819277108433,0.2819277108433735,0.14698795180722893,0.3469879518072289,0.13253012048192772,170.10327455919395,124.38508109231226,267,344.2000000000001,427,0.3415258964143426,0.35522639762611274,0.38743016759776533,12.76899999999994,0.008806206896551682,0.05078125,0.0703125,0.265625,0.10827586206896551,NA,NA,NA,NA,NA,NA,NA,NA,Adrian Beltré,1979-04-07,"5' 11""",220,47,R,R,3B,71,38,3,24.2,2018,1
134181,2018,"Beltré, Adrian",1694,1694,469,794,852,0.4557260920897285,0.7901554404145078,0.20984455958549222,0.5395513577331759,0.6221662468513854,0.2887323943661972,0.8643724696356275,0.6504065040650406,0.13562753036437247,0.34959349593495936,0.3778337531486146,0.7112676056338029,0.18004722550177096,0.32871536523929473,0.6561032863849765,-0.33343385248518825,0.2139659655705869,84.28933901918977,12.677391436017116,42.8,69.02,74.4,83.9,95.1,101.63999999999999,103.2,109.2,20.69999999999999,0.26865671641791045,0.4690831556503198,0.2622601279317697,0.14498933901918976,0.014925373134328358,17.901918976545844,27.003461643909755,-70,-20,1,19,37,52,82,36,0.34541577825159914,0.24520255863539445,0.279317697228145,0.1300639658848614,0.3816631130063966,0.15565031982942432,179.20935412026725,121.65576729393698,280,340.2,439,0.3339620689655172,0.3347510975609756,0.35213004484304933,7.884999999999995,0.0046546635182998794,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.10625737898465171,NA,NA,NA,NA,NA,NA,NA,NA,Adrian Beltré,1979-04-07,"5' 11""",220,47,R,R,3B,71,39,2,24.9,NA,NA
