hitter_archetype,n,players,avg_age,avg_pa,avg_batted_balls,avg_xwoba,avg_ev_p90,avg_hard_hit_rate,avg_barrel_rate,avg_chase_rate,avg_whiff_rate,avg_zone_contact_rate,avg_sprint_speed,avg_oaa,survival_rate
Low-skill offensive profile,1316,742,28.003799392097243,702.8890577507599,188.99544072948328,0.2634187655673335,100.41756838905775,0.2182295842483281,0.05770862598406662,0.31963622814368314,0.3042130245724485,0.802959480436253,27.299306625577813,1.2467105263157885,0.944144144144144
Contact-discipline hitter,1025,429,29.088780487804907,1184.0360975609756,347.11121951219513,0.3002259379455603,99.58054634146342,0.21232428723241117,0.03564975693059446,0.23969986356617828,0.16908435746354647,0.8983238660669262,27.023333333333333,1.59475806451613,0.9656652360515021
Power hitter,841,390,28.644470868014245,1552.038049940547,436.9001189060642,0.3419080226211781,103.90809750297265,0.2942660110727787,0.09800326131527759,0.2788493593419412,0.23802114605257643,0.8444752944961613,26.916567342073897,-0.2569593147751604,0.9864029666254635
Chase-contact hitter,802,421,28.47880299251871,1048.8915211970075,335.2344139650873,0.28681413404084993,99.925536159601,0.20900809813891413,0.04082983784861782,0.3380873209014403,0.20102143627198246,0.866558730177926,27.0125,-0.06344410876132787,0.9661971830985916
Power with swing-and-miss,771,384,28.03631647211416,1163.0791180285344,287.31387808041507,0.33164274560611506,104.86102464332036,0.301400038489251,0.12629286800403208,0.2775580320283173,0.3243365092922881,0.7770677532426391,27.112188728702492,-0.6705426356589128,0.9746478873239437
Complete hitter,263,144,28.988593155893547,1777.0152091254754,518.6730038022814,0.36374241775632643,104.26049429657795,0.30695120280886556,0.09656671491011039,0.252619642748503,0.18642776166640057,0.887440859039591,26.707251908396948,1.8333333333333337,0.9881889763779528
Average contact-control hitter,214,177,27.915887850467286,858.9953271028037,211.42990654205607,0.28071740407599843,99.72182242990654,0.20659474391531096,0.04175236436839261,0.23006405102210953,0.2414355616892844,0.8436245911266431,27.30700934579439,-1.2000000000000002,0.9487179487179487
Average regular profile,168,144,28.565476190476183,926.4464285714286,259.7559523809524,0.2714008328437321,99.62934523809524,0.20044924375528878,0.042208986687552505,0.28237980741357493,0.24749717128778936,0.8343326968368691,27.017857142857142,0.7142857142857136,0.9787234042553192
Balanced power-contact hitter,116,102,28.887931034482754,1041.3706896551723,261.0258620689655,0.3123049364523783,101.49801724137932,0.24188936607209113,0.06739309319286815,0.22591729804995142,0.2615691917588959,0.8290473775769167,27.162608695652175,-2.4242424242424248,0.9807692307692307
Average power-leaning hitter,83,78,27.879518072289155,989.2530120481928,264.4698795180723,0.29600569914465136,102.2443373493976,0.24588367630050761,0.059017287193854705,0.28413818458945933,0.27097326314360287,0.8210313915093899,27.054878048780488,-1.6551724137931036,0.922077922077922
Speed-defense specialist,42,34,27.428571428571427,1565.9285714285713,442.04761904761904,0.2908977934826428,100.73476190476191,0.213199077254708,0.05631216924161012,0.2581264067231535,0.24364333431831528,0.8402758966183544,28.652380952380952,7.7857142857142865,1
