season,hitter_archetype,player_seasons
2015,Low-skill offensive profile,115
2015,Contact-discipline hitter,97
2015,Power hitter,76
2015,Power with swing-and-miss,75
2015,Chase-contact hitter,72
2015,Average contact-control hitter,31
2015,Complete hitter,19
2015,Average regular profile,13
2015,Balanced power-contact hitter,13
2015,Average power-leaning hitter,7
2016,Low-skill offensive profile,127
2016,Contact-discipline hitter,102
2016,Power hitter,81
2016,Power with swing-and-miss,78
2016,Chase-contact hitter,72
2016,Complete hitter,27
2016,Average regular profile,18
2016,Average contact-control hitter,15
2016,Average power-leaning hitter,13
2016,Balanced power-contact hitter,9
2016,Speed-defense specialist,2
2017,Low-skill offensive profile,124
2017,Contact-discipline hitter,99
2017,Power hitter,83
2017,Power with swing-and-miss,82
2017,Chase-contact hitter,75
2017,Complete hitter,25
2017,Average regular profile,20
2017,Average contact-control hitter,19
2017,Average power-leaning hitter,9
2017,Balanced power-contact hitter,9
2017,Speed-defense specialist,5
2018,Low-skill offensive profile,136
2018,Contact-discipline hitter,96
2018,Power hitter,83
2018,Chase-contact hitter,75
2018,Power with swing-and-miss,74
2018,Complete hitter,29
2018,Average contact-control hitter,25
2018,Average regular profile,14
2018,Balanced power-contact hitter,7
2018,Average power-leaning hitter,6
2018,Speed-defense specialist,4
2019,Low-skill offensive profile,134
2019,Contact-discipline hitter,97
2019,Power hitter,93
2019,Chase-contact hitter,86
2019,Power with swing-and-miss,72
2019,Complete hitter,27
2019,Average contact-control hitter,21
2019,Average regular profile,13
2019,Balanced power-contact hitter,12
2019,Average power-leaning hitter,11
2019,Speed-defense specialist,7
2020,Low-skill offensive profile,124
2020,Contact-discipline hitter,94
2020,Power hitter,79
2020,Chase-contact hitter,69
2020,Power with swing-and-miss,62
2020,Complete hitter,17
2020,Average contact-control hitter,16
2020,Average regular profile,12
2020,Balanced power-contact hitter,6
2020,Average power-leaning hitter,3
2020,Speed-defense specialist,2
2021,Low-skill offensive profile,149
2021,Contact-discipline hitter,98
2021,Power hitter,92
2021,Chase-contact hitter,88
2021,Power with swing-and-miss,73
2021,Complete hitter,32
2021,Average regular profile,23
2021,Average contact-control hitter,17
2021,Balanced power-contact hitter,16
2021,Average power-leaning hitter,7
2021,Speed-defense specialist,3
2022,Low-skill offensive profile,123
2022,Contact-discipline hitter,112
2022,Chase-contact hitter,94
2022,Power with swing-and-miss,93
2022,Power hitter,82
2022,Average contact-control hitter,34
2022,Complete hitter,32
2022,Average regular profile,15
2022,Balanced power-contact hitter,11
2022,Average power-leaning hitter,7
2022,Speed-defense specialist,5
2023,Low-skill offensive profile,140
2023,Contact-discipline hitter,125
2023,Chase-contact hitter,89
2023,Power with swing-and-miss,85
2023,Power hitter,83
2023,Complete hitter,21
2023,Average regular profile,20
2023,Average contact-control hitter,17
2023,Balanced power-contact hitter,16
2023,Average power-leaning hitter,13
2023,Speed-defense specialist,7
2024,Low-skill offensive profile,144
2024,Contact-discipline hitter,105
2024,Power hitter,89
2024,Chase-contact hitter,82
2024,Power with swing-and-miss,77
2024,Complete hitter,34
2024,Average regular profile,20
2024,Average contact-control hitter,19
2024,Balanced power-contact hitter,17
2024,Average power-leaning hitter,7
2024,Speed-defense specialist,7
